requirement_uid,평가문서,정답,전원예측,요구사항명,blockers,cost_basis,build_difficulty,원문길이,reasoning,본문
ccrs_ai_platform:SFR-023,ccrs_ai_platform,견적반영,계약·질의검토,Agent 사내규정 검색,,고급·전문인력,높음,780,"기본 RAG 질의응답을 넘어 As-of-Date 시점별 검색, 게시판 개정 자동탐지 연동, 조·항 단위 출처 파싱 등 추가 개발이 필요하나 수치 성능목표나 라이선스 불확실성 같은 blocker는 없어 견적반영 대상이다.","Agent 사내규정 검색
- 사내규정 지식검색 서비스
- 내부 직원이 사내규정(인사규정, 복무지침, 취업규정, 휴가규정 등)을 자연어로 질의하여 검색하는 RAG 기반 서비스
- 지식베이스 구성
- (데이터 소스) 사내규정(43건), 지침(52)건으로 총 분량은 1,425page (소스 중 활용성을 검토하여 RAG 구성 범위는 위원회와 협의)
- (현행 우선) 최초 구축 시 현재 유효한 문서만 검색 대상으로 하며, 추가 학습을 통한 As-of-Date 질의 시 과거 시점 검색 지원
- (자동 탐지) 기존 업무포털 게시판에 신규 규정 등록 또는 기존 규정 개정 시 이를 자동으로 탐지하여 지식 파이프라인으로 전달하는 기능 제공
- 규정 특화 응답 정책
- (조항 참조) 응답 시 근거 규정의 출처(규정명, 조·항·호)와 해당 규정의 시행일을 명시하고, 근거 원문 해당 부분을 함께 표시
- (복수 문서) 복수 문서에서 근거가 나올 때 각 문서별로 구분하여 표시
- (근거 부재 시) 규정에 명확한 답변이 없는 경우 ""해당 사항을 직접 규정하는 조항이 확인되지 않습니다. 소관 부서(○○부)에 문의하시기 바랍니다.""와 같이 안내하고, 가장 유사한 관련 조항을 참고 정보로 제시
- (안내 문구) 모든 응답 하단에 다음 문구를 의무 표시: ""본 답변은 사내규정을 기반으로 생성형 AI가 작성한 참고용 안내이며, 법률적 유권해석이 아닙니다. 중요한 의사결정 시 반드시 주관부서에 확인하시기 바랍니다.""
- 공통 기능
- 대화 이력 관리 및 멀티턴 질의 지원
- 피드백 수집 및 GT 등록 기능 포함"
defense_intelligent_platform:PMR-003,defense_intelligent_platform,견적반영,계약·질의검토,투입인력 요건,,고급·전문인력,낮음,470,"상주 인력 운영, 경력증명서 제출, 인력 교체 시 인수인계기간 인건비 사업자 부담 등은 표준적인 인력관리 조건으로 blocker는 아니나 상주 전문인력 투입에 따른 인건비가 기본 수행팀 범위를 넘어 견적반영 대상이다.","투입인력 요건
- 본 사업에 투입되는 인력은 시스템의 안정적 지원을 위하여 계약기간 동안 근무가 가능한 인력을 투입하여야 함
- 투입인력은 발주기관이 지정하는 장소에서 상주하는 것을 원칙으로 하되, 필요한 경우 발주기관과 협의 하에 비상주 가능
- 전문 분야의 투입인력에 한해 한국SW산업협회 발행 SW기술자 경력증명서 또는 경력을 증빙할 수 있는 서류를 제안 시 제출하여야 함
- 사업 진행 중 특별한 사유가 없는 한 인력 교체는 원칙적으로 불가하나, 부득이하게 교체되는 경우 동급 이상의 대체인력을 투입하여 15일 이상의 업무 인수·인계기간을 두며 발주기관의 사전 승인을 받아야 함
- 인수·인계 기간 동안 교체 인력에 대한 인건비는 사업수행사 부담으로 처리하여야 하며 투입공수에서 제외
- 발주기관은 참여인력이 사업수행 상 부적당하다고 판단되거나 자격 미달인 경우 사업자에게 교체를 요구할 수 있으며, 사업자는 이에 적극 협조하여야 함"
genai_incident_response:PMR-001,genai_incident_response,견적반영,계약·질의검토,사업 수행조직 및 투입 인력 관리,,고급·전문인력,낮음,926,"AI·보안 전문기업 컨소시엄 구성과 5년 이상 경력의 PM·전문인력 자격요건은 기본 수행팀 범위를 넘는 고급 인력 투입을 요구해 견적에 반영해야 한다. 인력 교체 승인, 허위기재 시 조치 등은 통상적 인력관리 조항으로 blocker는 아니다.","사업 수행조직 및 투입 인력 관리
- 컨소시엄 구성 기준
- 컨소시엄에는 다음 조건을 갖춘 기업이 각각 1개사 이상 포함할 것을 권고하며, 제안서에 해당 내용을 제시해야 함
- AI 전문기업: 생성형 AI(RAG, LLM 등) 관련 기술 유경험 기업
- 보안 기업: 침해대응, 사고분석, 위협분석 등 유관 프로젝트 수행 경력 보유 기업
- 각 구성사는 ‘역할과 책임(R&R)’을 명확히 구분하여 제안
- 핵심 인력 자격 및 운영 요건
- 총괄 PM(사업관리자)은 아래 요건 중 2가지 이상을 충족할 것을 권고하며, 제안서에 해당 내용을 제시해야 함
- AI, 정보보안, 침해대응 분야의 기술기획 프로젝트 총괄 경험(5년 이상)
- 생성형 AI 또는 LLM 기반 시스템 구축 경험 또는 관련 기술 역량 보유
- 공공기관, 민간기업 등에서 관련 사업 PM 또는 PL 이상 수행한 경력(5년 이상)
- 정보보안 또는 AI 관련 학위·자격 보유(정보보안기사, 기술사, AI 관련 인증 포함)
- 사업관리자(PM)은 본 용역의 전체 실무를 총괄해야 하며, 진흥원과의 소통 창구는 사업관리자(PM)으로 일원화
- 사업관리자(PM) 및 수행 인력은 특별 사정이 있거나 진흥원에서 인력교체를 요청하지 않는 한 사업 수행기간 동안 변경할 수 없으며, 인력 변경 시 반드시 진흥원의 사전 승인 필요
⚪ 투입 인력 구성 및 계획
- 전 인력의 소속사, 역할, 참여율, 단계별 투입 계획을 명시
- 참여인력 전원에 대해 자격·경력·참여 실적을 구체화하고, “소프트웨어기술자 근무경력확인서” 등 증빙 서류를 제안 시 제출
⚪ 인력 교체 및 관리
- 제안된 인력은 임의 교체 불가, 부득이한 경우 사전 승인 및 7일 이상 인계·인수 기간 확보
- 발주기관은 자격 미달 또는 부적합 인력에 대해 교체를 요구할 수 있으며,허위 기재 시 계약 해지 및 손해배상 등 조치를 취할 수 있음"
genai_incident_response:SER-007,genai_incident_response,견적반영,계약·질의검토,"시스템(서버, 네트워크, 보안장비) 보안",,외주·전문기관,보통,1588,"대부분 표준 서버·계정·백업 보안 절차로 기본 수행팀이 처리 가능하나, '보안관제를 통한 외부 공격 방어'는 상시 모니터링 체계로 통상 외부 관제 서비스 조달이 필요해 원가가 추가된다. 구체적 수치목표나 불명확한 대상은 없어 blocker는 없다.","시스템(서버, 네트워크, 보안장비) 보안
- 구축 및 운용시스템에 대한 서버 보안취약점 점검 및 FTP, Telnet, Finger 등 불필요한 서비스 포트 제거 등 보안사항 점검 및 조치
- 보안관련 소프트웨어를 지속적으로 업그레이드 하고 상시적으로 보안교육을 실시
- 서버의 소프트웨어 취약점 해결을 위한 최신 소프트웨어 업데이트 지원(필요 패치 발생 시 수행)
- 개발하는 프로그램(시스템 및 서비스)에 대한 보안취약점 사전 점검 및 보완조치
- 보안 관제를 통해 외부 공격으로부터 서버 등 시스템 보호
- DB서버는 별도의 서버로 zone을 구분하여 관리할 수 있도록 구현하며, 백업용 서버 또한 별도의 서버로 관리할 수 있도록 구현
- 공유자원에 대한 접근제어가 사용자 권한에 따라 이루어지는지 관리
- 네트워크 관리자 접속용 계정의 패스워드는 기본 패스워드가 아닌 복잡도가 높은(숫자·문자·특수문자 등 조합하여 8자리 이상) 패스워드로 변경하여 사용
- 패스워드의 특정 실패 횟수(5회 이상 실패 시 접속 중단) 및 유효기간을 설정하고 불필요한 디폴트 계정을 삭제하는 등 서버 사용자 및 패스워드를 관리
- PC에 패스워드(관리자 포함)를 사용하고 주기적으로 변경
- 사용자 PC 백신 프로그램을 항상 최신 상태로 유지
- 정기적 바이러스 및 해킹도구 검사 등을 실시
- 보조기억매체는 사업 책임자에 한하여 허용하고, USB메모리는 비밀번호 설정 등 보안기능이 있는 매체를 등록하고 이용
- 불의의 사고로 인하여 시스템이나 파일이 피해를 입더라도 최근에 백업한 시점의 내용으로 복구할 수 있는 백업정책을 수립하고 실행
- 개발서버와 운영서버를 분리하여 개발 및 운영
- DB 서버는 별도의 서버로 zone을 구분하여 관리할 수 있도록 구현하며, 백업용 서버 또한 별도의 서버로 관리할 수 있도록 구현
- 필요시 발주기관의 보안적합성 검증 절차 및 정보시스템 도입/운용 절차에 협조해야 함
- 향후 구축 완료 후 운용 시점의 상황을 판단하여, 각 사용자(관리자, 유지보수인력 등)이 접근할 수 있는 대상 시스템을 구분하고 불필요한 자원에 접근하지 못하도록 구현(혹은 해당 기능을 관리자가 설정할 수 있도록 구현)
- 각각의 장비간에 원격접속이 가능하거나 하나의 장비에 접속한 뒤 다른 장비로 직간접적인 접속이 불가능하도록 구현
- 필요시 발주기관의 보안적합성 검증 절차 및 정보시스템 도입/운용 절차에 협조
- 내부 직원, 용역 직원의 접근권한 및 계정을 구분하고, 관리자 접근 시 IP ACL 등 접근 통제
- 「국가를 당사자로 하는 계약에 관한 법률 시행령」 제76조 제2항 제3호 다항목에 따른 정보통신망 또는 정보시스템 구축 및 유지보수 등의 계약 이행과정에서 정보통신망 또는 정보시스템에 허가 없이 접속하거나 무단으로 정보를 수집할 수 있는 비인가 프로그램을 설치하거나 그러한 행위에 악용될 수 있는 정보통신망 또는 정보시스템의 약점을 고의로 생성 또는 방치하는 행위 등을 금지하는 내용의 계약 특수조건을 계약서에 명시하여야 하며 계약기간(하자 보증기간을 포함) 내에 발생한 보안 약점 등에 대해서는 제안사로 하여금 개선 조치하도록 하여야 함
- 상기 내용과 관련한 행위가 없다는 대표자 명의의 확약서를 요구할 수 있음"
incheon_airport_digital_work:PER-005,incheon_airport_digital_work,견적반영,계약·질의검토,CPU 효율성,,라이선스,보통,105,"CPU 사용률 평가 자체는 통상적 성능테스트이나, 전문 Tool 사용 및 관련 비용을 제안금액에 포함하도록 명시되어 있어 도구 라이선스 비용을 견적에 반영해야 한다. 구체적 수치 목표나 무제한 재작업 조건은 없어 blocker는 없다.","CPU 효율성
- 테스트 기간과 시험운영(안정화) 기간에 CPU 사용률을 평가
※ 성능테스트는 전문 Tool을 사용하여 결과를 보고서로 제출하여야 하며, 관련 제반 비용은 제안 금액에 포함"
incheon_airport_digital_work:SFR-019,incheon_airport_digital_work,견적반영,계약·질의검토,(과제 16) 업무효율 강화 S/W 개념증명(PoC),,복합,보통,298,"상용 S/W 10종 PoC 수행과 라이선스 확보, 사내 만족도 조사 행사비용을 계약상대자가 부담해야 하므로 기본 수행팀 범위를 넘는 라이선스·행사 비용이 발생한다. 폐쇄망 내 사용 가능 제품 선정 등은 통상적 컨설팅 절차로 blocker 요건에는 해당하지 않는다.","(과제 16) 업무효율 강화 S/W 개념증명(PoC)
- 업무 효율성 강화를 위해 상용S/W 개념증명(PoC) 수행
- 공사 업무 현황 분석을 통해 업무 효율을 높일 수 있는 상용S/W 10개를 PoC하여 결과를 공문으로 제출
- 제품은 업무망(폐쇄망) 내에서 사용 가능한 S/W로 선정되어야 하며, PoC와 사내 만족도 조사* 등을 수행하고 결과 반영
* 조사 수행을 위해 지출되는 행사 비용은 계약상대자가 부담
- PoC 절차, 방안, 선정방법 등을 명시한 시행계획을 공사에 공문으로 제출하며, 최종 수행 결과 또한 공문으로 제출"
incheon_airport_digital_work:TER-001,incheon_airport_digital_work,견적반영,계약·질의검토,테스트 일반사항,,외주·전문기관,보통,536,"단위·통합·시스템 테스트는 기본 수행팀 표준 업무이나, 성능문제 발생 시 성능진단 전문업체의 별도 진단·개선 수행이 명시되어 외주 비용이 추가 발생한다. 무제한·무상 재작업이나 구체적 수치 목표가 없어 blocker는 아니다.","테스트 일반사항
- 단위시험, 통합시험, 시스템 시험(성능 및 부하), 사용자 승인(인수)시험 등 단계별 테스트 시행
- 계약상대자는 단계별 테스트에 대한 종합적인 시험방법 및 시험 시나리오 등 세부 시험절차를 수립한 후, 예상결과 및 대응책까지 포함하여 공사에 사전 검토를 받고 이행
- 시험 계획에는 시험 인력, 시험 데이터, 시험 절차/방법, 시험 일정/주기, 시스템 튜닝 등을 포함하여 진행
- 통합시험, 시스템시험 등은 운영 시스템에서 실제 데이터(오류 데이터 포함)와 동일한 시험 데이터를 토대로 실시
- 단위시험은 자체계획에 따라 수행하고 결과를 보고
- 통합시험은 본 과업수행결과가 운영환경에 반영된 상태에서 테스트를 최소한 2주 이상 실시하고 성능문제 발생 시 성능진단 전문업체로 부터의 성능진단 및 개선 등 수행
- 개발완료 후 최종 산출물 및 테스트 결과물을 첨부하여 제출하고 발견된 오류 사항은 보완·테스트를 반복적으로 실시
- 시스템 시험(성능 및 과부하 테스트 포함) 및 사용자 승인(인수)시험은 시스템 오픈 전까지 모든 절차를 완료"
kac_ai_work_platform:QUR-003,kac_ai_work_platform,견적반영,계약·질의검토,품질보증 및 하자보증,,고급·전문인력,보통,979,"1년 무상 하자보증, 전문 엔지니어 상시 기술지원, 2시간 착수·4시간 복구 SLA는 표준 수준이나 전담 전문인력 투입 비용이 발생해 견적반영 대상이며, 열린 범위나 무제한 의무는 없어 blocker는 아니다.","품질보증 및 하자보증
❍ 제안사는 계약 목적물로 공급한 시스템의 하자에 대한 보수책임을 가지며, 하자보증 기간에 대한 하자보수보증금을 납부 하여야 함
- 제안사가 제삼자로부터 구매하여 공급한 제품과 자체 개발한 S/W를 포함한 시스템이 설계 및 구현상 결함이 발생 되었을 때, 품질 및 하자보증 기간을 검사(수)완료일로부터 1년으로 하며, 무상으로 보수함
- 하자 · 유지보수 기간 내에 하자가 발생하여 공사가 하자보수를 요청한 경우, 제안사는 요청받은 즉시 그 하자를 보수하여야 하며 당해 하자의 원인 및 기타 조치사항을 명시하여 공사에 제출하여야 함
- 하자보증기간 동안 문제해결 및 기술 이전 등을 위해 전문 엔지니어의 기술지원이 가능하여야 함
- 장애 발생 시 전문 엔지니어가 직접 또는 원격지원 할 수 있어야 하며, 재발 방지를 위해 문제 발생 원인 및 조치 방법을 보고서로 제출하여야 함
❍ 제안사에서 공급한 시스템의 하자 · 유지보수 기간 내에 수행하여야 할 유지보수 업무, 수행 절차, 장애관리 등을 포함한 계획을 수립하고 공사에 제공하여야 함
- 사업 종료 후 시스템의 지속적인 발전 및 안정성 유지를 위하여 세부 하자 유지보수 계획을 수립하여 제시하여야 함
- 하자 유지보수 지원 방안을 아래와 같이 제시하여야 함
1) 지원 범위, 지원 방법, 비상 연락망 등 세부 내용을 포함하여야 함
2) 유상 유지보수 및 재개발의 경우 비용부담 조건, 유상 유지보수 제안가격을 포함하여야 함 (계약 후 사업수행계획서 제출 시점에 구체적으로 제시하여야 함)
- 사업 종료 후 검수 완료일로부터 1년간 장애 발생 시 장애 접수 후 2시간 이내 착수 및 4시간 이내 보수가 가능하도록 신속 대응하여야 함
- 장애 대응 조치 후 관리
1) 장애 조치 완료 후 조치사항에 대하여 장애 처리 대장에 기록 및 관리
2) 향후 같은 장애 발생 시, 관리자가 조치할 수 있도록 기술 이전을 시행하여야 함
※ 기타 세부적인 사항에 대해서는 공사와 협의하여 결정"
kexim_ai_platform:INR-DTL-003,kexim_ai_platform,견적반영,계약·질의검토,x86 서버,,장비·인프라,보통,683,"x86 서버 3대의 구체적 CPU·메모리·디스크·NIC 규격과 부속품, 3년 유지관리 비용까지 명시되어 있어 인프라 도입 원가가 명확히 산정 가능하다. 이중화·연동·최신형 공급 등은 표준 문구 수준으로 blocker가 아니다.","x86 서버
- 용도 : x86 서버 (ECM 운영 이중화, DR 구성용)
- 성능 및 용량 규격 : 총 3대
구분 | 세부 규격
CPU | - Intel Xeon 6507P 2.5GHz(16Core) 이상
Memory | - 128 GB 이상 제공
Disk | - OS : 300GB * 2 NVMe SSD / DATA : 1.2TB * 2 NVMe SSD 이상
NIC | - 10/25G 2P SFP28 * 2 이상
- 32G 2P HBA* 2 이상
기타 | - 제안한 H/W는 도입시점에서 최신형으로 공급
- 운영 안전성을 위하여 기존 환경과 원활하게 연동이 가능하도록 하여야 하며, 변경을 최소화 하는 방안으로 구성
- 모든 운영, 개발 및 테스트 시스템의 Internal 디스크, 전원공급장치 등 주요 부품은 이중화로 구성
- 서버 이중화를 구성하는 중요시스템은 Fail-Over가 가능하도록 HBA 및 NIC 등 주요 부품이 이중화로 구성
- 모든 I/O Adapter는 각기 별도의 전용 카드로 제공
- 서버의 서비스 네트워크와 관리 네트워크를 분리 구성
- 제조사 정품 랙, 관리콘솔, KVM 스위치, 케이블 등 서버운영 및 관리에 필요한 부속품 일체 제공
- 사업 최종검수완료 후 3년(무상1년, 유상2년) 유지관리* 금액을 포함하여 제안
* 장애처리 등 기술지원 및 정기점검, 시스템 패치 및 업그레이드"
kexim_ai_platform:INR-DTL-004,kexim_ai_platform,견적반영,계약·질의검토,TOR Switch,,장비·인프라,낮음,302,"TOR Switch 6대 및 규격, 보안기능확인서, 3년 유지관리(무상1년,유상2년) 등이 구체적으로 명시되어 장비·인프라 원가로 견적 산정이 가능하며, blocker에 해당하는 불확실 조건은 없다.","TOR Switch
- 용도 : TOR Switch
- 성능 및 용량 규격 : 총 6대
구분 | 세부 규격
요구기능 | - TOR Switch 24개 SFP+ 포트, 1/10Gbps 지원
기타 | - 보안기능확인서 획득 제품일 것
- 제안한 H/W는 도입시점에서 최신형으로 공급
- 운영 안전성을 위하여 기존 환경과 원활하게 연동이 가능하도록 하여야 하며, 변경을 최소화 하는 방안으로 구성
- 사업 최종검수완료 후 3년(무상1년, 유상2년) 유지관리* 금액을 포함하여 제안
* 장애처리 등 기술지원 및 정기점검, 시스템 패치 및 업그레이드"
