requirement_uid,document_id,agency,requirement_name,sample_category,primary_action,confidence,reasoning,evidence,is_missing_info,domain_level,cost_driver,responsibility_risk
incheon_airport_digital_work:CUR-CM-001,incheon_airport_digital_work,인천국제공항공사,공사 AI 업무 체계 고도화 컨설팅,승인예외_ID_불일치,계약·질의검토,높음,"본 요구사항은 AI 업무 체계 고도화 컨설팅 수행과 함께 국내·외 인증 취득, LLM/RAG 적정성 평가 시행, 타 구축 사업과의 인터페이스 연계 반영을 포함하고 있습니다. 특히 취득 대상 국내·외 인증의 종류, 범위 및 비용 부담 주체가 불명확하며, 연계 대상 타 사업 정보의 범위가 모호하여 제안사의 리스크가 높습니다. 따라서 명확한 인증 취득 대상과 타 사업 연계 협조 범위에 대한 질의 및 계약 조항 검토가 필요합니다.","구축 AI 서비스 품질 검증을 위한 국내·외 인증 체계 조사 및 취득 | 과제 별 LLM 및 RAG 도입 S/W 적정성에 대한 평가 수립 및 시행 | 현재 공사에서 수행 중인 차세대 통합정보연계시스템 구축 사업, 인천공항 데이터플랫폼 통합 ISP 용역 및 구축 사업에 대해 인터페이스 연계 방안 등을 분석하여 사업에 반영",True,중간,"국내·외 인증 취득 관련 수수료 및 준비 비용, 과제별 LLM/RAG 평가 시행에 따른 검증 인력 투입",인증 취득 미완료 시 책임 소재 및 타 구축 사업과의 연계 지연에 따른 책임 발생 위험
ccrs_ai_platform:SFR-022,ccrs_ai_platform,신용회복위원회,Agent 채권양수도 추론,특이_중첩표포함,통상수용,높음,"기간계에서 추출한 CSV 형태의 채권양수도 이력 데이터를 지식베이스로 구축하고, 과거 이력 기반으로 양수도 체인 및 예상 양수기관 목록을 추론·안내하는 Agent 개발 요구사항입니다. 구현에 필요한 기능 요구사항 및 질의응답 형태가 비교적 명확히 기술되어 있어 일반적인 AI Agent/RAG 개발 범위 내에서 통상 수용이 가능합니다.","시스템은 기간계에서 추출한 csv 포맷의 채권양수도 이력 데이터(개인정보 제외)를 지식베이스로 구성·관리하는 기능을 제공 | 시스템은 사용자가 특정 채권기관명을 입력하면, 과거 양수도 이력을 기반으로 해당 기관이 양도한(또는 양도받은) 기관 목록에 대한 정보를 제공",False,중간,양수도 체인을 정밀하게 추적/분석하기 위한 에이전트 워크플로우 설계 및 지식베이스 검색(RAG) 최적화 공수,실제 채권 보유기관과 시스템 추론 결과 간 차이에 따른 사용자 혼선 가능성(참고용 안내 문구 명시 필요)
defense_intelligent_platform:ECR-029,defense_intelligent_platform,국방부,VDI 장비 및 기능 요구사항,특이_중첩표포함,계약·질의검토,높음,"VDI 구축을 위한 관리서버 및 운영서버, 스토리지, 네트워크 장비의 상세 스펙과 요구기능이 규정되어 있으나, 관리서버와 운영서버의 도입 수량이 'n식'으로 명시되어 있어 정확한 수량 및 견적 금액을 산출할 수 없습니다. 수용 대상 VDI 사용자 수 및 정확한 서버 도입 수량에 대한 발주처 질의 및 수량 확정이 필요합니다.","관리서버 | · CPU 2.4GHz 12Core ×2EA, 총 48Core 이상 ... | n식 | 운영서버 | · CPU 2.7GHz 48Core ×2EA 이상, 총 672Core 이상 ... | n식 | 안정적인 운영을 위하여 VDI솔루션과 상호 인증된 솔루션을 제공",True,중간,"서버 노드 수(n식) 미확정 및 NVMe All Flash 스토리지, 고성능 네트워크 장비 구매 비용",VDI 솔루션과 상호 인증된 부가 솔루션 제공 요구에 따른 통합 연동 및 라이선스 책임
defense_intelligent_platform:INR-004,defense_intelligent_platform,국방부,대내외 정보시스템과의 연동,특이_중첩표포함,계약·질의검토,높음,"연동 대상 시스템이 설계 단계에서 확정되는 불명확한 상태임에도 불구하고, 시스템 간 연동을 위한 추가 인력/장비 비용 및 연동 대상 타 시스템의 수정/보완 비용 일체를 사업수행사가 부담하도록 요구하고 있습니다. 이는 제안사의 과도한 비용 부담 및 포괄적 책임 리스크를 유발하므로 계약 전 질의 및 범위 조정이 필수적입니다.","연동 대상시스템은 연동합의서를 기준으로 하며, 설계 단계에 확정 | 시스템 간 연동을 위한 추가 인력 및 장비, 연동대상 시스템의 수정/보완 등은 사업수행사가 일체를 부담하여 구현/지원",True,높음,연동용 추가 장비 도입 비용 및 타 체계 연동 수정/보완을 위한 추가 투입 인력비,타 체계 연동 수정 및 추가 인력/장비에 대한 포괄적 비용 부담 의무 전가
defense_intelligent_platform:QUR-001,defense_intelligent_platform,국방부,품질관리 방안,특이_중첩표포함,통상수용,높음,"본 요구사항은 국방 정보화업무 훈령에 따른 표준 산출물 17종 제출, 형상관리, 단위/통합 테스트, 시험평가 대응 및 품질보증계획 수립에 대한 일반적인 SI 사업 수행 품질관리 요구사항입니다. 추가 개발 부담이나 불합리한 포괄 책임 부여 조항이 없으므로 표준 SI 프로세스로 통상 수용 가능합니다.","사업 수행자는 개발 전 과정 동안 개발 산출물과 시스템의 품질을 관리하여야 하며, 발주기관의 품질 목표 기준을 통과하여야 함 | 제안사는 국방 정보화업무 훈령에 명기된 산출물을 검수 전까지 제출하여야함 | 사업수행사는 발주기관의 품질관리 절차 및 기준을 반영한 품질보증방안을 제시하여야 함",False,중간,17종 산출물 작성 및 품질보증(QA) 활동 공수,품질 목표 미달 시 조치 책임 및 재작업 공수 발생
kexim_ai_platform:PMR-025,kexim_ai_platform,한국수출입은행,관련기관과 원활한 업무 협의,극단치_최단본문,통상수용,높음,"연계기관 간 업무협의 진행 방안 제시 요구사항은 사업수행 계획 및 프로젝트 관리 영역의 일반적인 방안 수립 요청으로, 추가적인 비용 발생이나 제안사 불이익 위험 없이 통상 수용이 가능합니다.",◦ 연계기관 간 원활한 업무협의 진행 방안 제시,False,낮음,해당 없음,해당 없음
defense_intelligent_platform:ECR-019,defense_intelligent_platform,국방부,백업SW,극단치_최단본문,견적반영,높음,"도입할 백업 소프트웨어의 용량과 수량(총 1식, 250TB 이상)이 요구사항 본문에 명시되어 있으므로 견적 산출 시 라이선스 도입 비용을 반영할 수 있습니다.",총 1식(250TB 이상) 의 라이선스,True,낮음,250TB 이상 백업 라이선스 및 백업 에이전트/노드 수에 따른 추가 라이선스 비용,백업 대상 시스템과의 호환성 문제 발생 시 수행사의 소프트웨어 제조사 기술지원 책임
kexim_ai_platform:INR-DTL-005,kexim_ai_platform,한국수출입은행,상용 S/W 도입 품목 요구사항,극단치_최장본문,견적반영,높음,"WEB, WAS, AI 기반 솔루션, DB 암호화, RDBMS, 파서/AI OCR, ECM 등 도입 대상 상용 S/W의 최소 수량과 상세 기능/성능 사양이 명확하게 정의되어 있습니다. 주사업자의 인프라 설계 및 HW 규격(Core 수, Server 수 등)에 맞추어 상용 S/W 라이선스 구매 비용을 제안 견적에 정확히 산정하여 반영할 수 있습니다.","수량은 주 사업자의 인프라 설계에 따라 변동 가능(제시 수량은 최소수량임) | 납품하는 HW(상용SW가 설치되는 대상) 시스템의 규격과 구성(Core 수, Server 수, User 수 등)을 충족하는 라이선스 제공",False,중간,"RDBMS, AI 기반 솔루션, AI OCR, ECM 등 다수의 상용 S/W 라이선스 매입 비용 및 Core 수 기반 단가 산정",다양한 상용 S/W 솔루션 및 컨테이너/HCI 환경에서의 상호 연동과 통합 설치/설정 수행 책임
genai_incident_response:SER-004,genai_incident_response,,수행업체 보안 준수사항,극단치_최장본문,견적반영,높음,"본 요구사항은 공공 정보화 사업의 보안 준수사항 및 원격지 개발에 따른 관리적·기술적·물리적 보안 요구사항을 정의하고 있습니다. 독립 개발망 구축, 원격지 개발실 CCTV 설치 및 출입통제, 문서보안 솔루션 적용, 개발 PC/서버 제어, 로그 1년 보관 등 구체적인 인프라 및 솔루션 요구사항이 명시되어 있으므로 제안 견적에 관련 비용 및 보안 관리 비용을 반영해야 합니다.",개발실 출입자 모니터링을 위해 개발실 입구 및 복도 등에 CCTV 설치‧운용 | 용역업체의 개발망은 용역업체의 발주기관의 내부망․기관 인터넷망과 분리하여 별도의 독립망으로 구축․운용 | 자료유출 방지를 위한 문서보안 솔루션 등 적용,True,중간,"독립 개발망 구축, CCTV 및 출입통제 시스템 설치, 문서보안 솔루션 적용 등 원격지 개발실 보안 인프라 구축 및 운영 비용",누출금지 정보 유출 시 부정당업자 제재 및 민·형사상 전적으로 책임을 지는 위험
ccrs_ai_platform:SFR-001,ccrs_ai_platform,신용회복위원회,AI 통합 포털 기능 구현,문서표본_ccrs_ai_platform_기능 요구사항,계약·질의검토,높음,"단일 포털 구축, RBAC 기반 세션 관리, AI/MLOps 메뉴 통합 요구사항이나, SSO 연동 대상 및 방식, 구체적 UI 구성, 망 구성(내부망/대외망/DMZ) 세부사항이 사업 추진 중 협의 항목으로 열려 있어 개발 범위 및 인터페이스 난이도 파악이 불명확합니다. 또한 금융분야 생성형 AI 가이드라인 준수 및 법령 제·개정 시 반영 절차 등 추가 업무 요구 가능성이 존재하므로 제안 전 질의를 통한 연동 대상 범위 확정이 필요합니다.","(SSO 연동) SSO 연동을 지원하며, 연동 방식 및 대상 시스템은 위원회와 협의 | ※ 구체적인 UI 구성 방식은 사업자 제안 후 위원회와 협의하여 확정 | ※ 망 구성(내부망/대외망/DMZ) 세부사항은 위원회와 협의하여 확정",True,중간,"폐쇄망 오프라인 환경에서의 모델 및 패키지 검증/반입 프로세스 구현, SSO 연동 대상 시스템 수 증가에 따른 연동 공수",관련 법률 및 금융 AI 가이드라인 제·개정 시 시스템 변경 반영 절차 수립 및 대응 책임
