document_id,requirement_uid,requirement_id,reason,source_file,source_location,original_checked,id_match,name_match,body_complete,table_structure_ok,review_note,reviewer,reviewed_at
defense_intelligent_platform,defense_intelligent_platform:SFR-048,SFR-048,duplicate_index,국방 지능형 플랫폼 고도화 구축.md,markdown_line:1655,,,,,,,,
kac_ai_work_platform,kac_ai_work_platform:PER-003,PER-003,index_only,한국공항공사_KAC AI 업무혁신 플랫폼 구축 용역.md,,,,,,,,,
ccrs_ai_platform,ccrs_ai_platform:SFR-001,SFR-001,document_first,1-3 (제안요청서) 신용회복위원회 통합 AI플랫폼 구축.md,markdown_line:448,,,,,,,,
ccrs_ai_platform,ccrs_ai_platform:INR-004,INR-004,document_middle,1-3 (제안요청서) 신용회복위원회 통합 AI플랫폼 구축.md,markdown_line:976,,,,,,,,
ccrs_ai_platform,ccrs_ai_platform:CNR-002,CNR-002,document_last,1-3 (제안요청서) 신용회복위원회 통합 AI플랫폼 구축.md,markdown_line:1509,,,,,,,,
ccrs_ai_platform,ccrs_ai_platform:ECR-006,ECR-006,document_longest,1-3 (제안요청서) 신용회복위원회 통합 AI플랫폼 구축.md,markdown_line:897,,,,,,,,
defense_intelligent_platform,defense_intelligent_platform:ECR-001,ECR-001,document_first,국방 지능형 플랫폼 고도화 구축.md,markdown_line:873,,,,,,,,
defense_intelligent_platform,defense_intelligent_platform:SFR-056,SFR-056,document_middle,국방 지능형 플랫폼 고도화 구축.md,markdown_line:1737,,,,,,,,
defense_intelligent_platform,defense_intelligent_platform:PSR-010,PSR-010,document_last,국방 지능형 플랫폼 고도화 구축.md,markdown_line:2641,,,,,,,,
defense_intelligent_platform,defense_intelligent_platform:ECR-002,ECR-002,document_longest,국방 지능형 플랫폼 고도화 구축.md,markdown_line:883,,,,,,,,
genai_incident_response,genai_incident_response:SFR-001,SFR-001,document_first,생성형 AI 기반 침해대응체계 도입 및 구축 용역 제안요청서.md,markdown_line:323,,,,,,,,
genai_incident_response,genai_incident_response:INR-006,INR-006,document_middle,생성형 AI 기반 침해대응체계 도입 및 구축 용역 제안요청서.md,markdown_line:648,,,,,,,,
genai_incident_response,genai_incident_response:PSR-006,PSR-006,document_last,생성형 AI 기반 침해대응체계 도입 및 구축 용역 제안요청서.md,markdown_line:965,,,,,,,,
genai_incident_response,genai_incident_response:SER-004,SER-004,document_longest,생성형 AI 기반 침해대응체계 도입 및 구축 용역 제안요청서.md,markdown_line:695,,,,,,,,
incheon_airport_digital_work,incheon_airport_digital_work:CUR-CM-001,CUR-CM-001,document_first,인천공항_AI 디지털워크 전환 사업.md,markdown_line:462,,,,,,,,
incheon_airport_digital_work,incheon_airport_digital_work:DAR-004,DAR-004,document_middle,인천공항_AI 디지털워크 전환 사업.md,markdown_line:795,,,,,,,,
