label,rank,phrase,total_contribution,requirement_count
통상수용,1,관리,7.2228,146
통상수용,2,개발,4.8773,89
통상수용,3,정의,2.6061,44
통상수용,4,표준화,2.0173,25
통상수용,5,수립,1.9375,37
통상수용,6,기능,1.8348,43
통상수용,7,산출물,1.743,21
통상수용,8,제시하여야,1.2732,27
통상수용,9,데이터,1.2625,27
통상수용,10,자료의,1.1053,15
통상수용,11,준수,1.0544,41
통상수용,12,방안,0.8211,18
통상수용,13,등록,0.8123,25
통상수용,14,표준,0.7082,33
통상수용,15,UI/UX,0.707,6
통상수용,16,품질관리,0.6879,24
통상수용,17,제공,0.6628,16
통상수용,18,프로그램,0.6346,14
통상수용,19,기술적용계획표,0.6236,5
통상수용,20,기술적용계획표의,0.6236,5
통상수용,21,준수하여야,0.6124,24
통상수용,22,인터페이스,0.5943,8
통상수용,23,시스템은,0.5546,4
통상수용,24,자료,0.5329,27
통상수용,25,개발방법론에,0.5057,6
통상수용,26,시스템,0.4593,7
통상수용,27,관리하고,0.4508,15
통상수용,28,산출물에,0.4428,11
통상수용,29,현황,0.4303,9
통상수용,30,신원조사,0.4185,3
통상수용,31,사용자,0.3953,11
통상수용,32,기능을,0.384,18
통상수용,33,유지관리,0.3587,13
통상수용,34,개발방법론,0.3565,7
통상수용,35,일정,0.355,13
통상수용,36,활동,0.3499,7
통상수용,37,관리하여야,0.3499,9
통상수용,38,제출자료의,0.3389,6
통상수용,39,관리방안을,0.3339,7
통상수용,40,관리자가,0.3337,10
통상수용,41,프로그램을,0.3332,7
통상수용,42,접근,0.3292,9
통상수용,43,제공하여야,0.3233,13
통상수용,44,호환성,0.3204,3
통상수용,45,준수하여,0.3199,14
통상수용,46,보고,0.3146,12
통상수용,47,취약점,0.3117,6
통상수용,48,"관리,",0.3057,6
통상수용,49,정의하고,0.3025,13
통상수용,50,작성,0.301,14
통상수용,51,산출물을,0.2996,9
통상수용,52,산출물의,0.2905,9
통상수용,53,위험관리,0.2868,13
통상수용,54,관리방안,0.2856,8
통상수용,55,취득한,0.2761,7
통상수용,56,이력관리,0.2735,10
통상수용,57,프로젝트,0.2717,7
통상수용,58,전자정부표준프레임워크,0.271,2
통상수용,59,기능에,0.2665,6
통상수용,60,시큐어코딩,0.2606,4
통상수용,61,관리하는,0.2525,7
통상수용,62,표준관리,0.2524,6
통상수용,63,디자인,0.2496,5
통상수용,64,관리자,0.2445,15
통상수용,65,무결성,0.2412,4
통상수용,66,오류,0.2354,5
통상수용,67,대한,0.2333,6
통상수용,68,웹하드,0.2327,3
통상수용,69,품질보증,0.2326,7
통상수용,70,계획,0.2323,16
통상수용,71,관리할,0.2302,12
통상수용,72,품질보증활동,0.227,4
통상수용,73,기준,0.2247,10
통상수용,74,이슈관리,0.2242,3
통상수용,75,"유형,",0.2207,4
통상수용,76,사업관련,0.2201,3
통상수용,77,보안관리,0.2192,8
통상수용,78,개발된,0.2178,6
통상수용,79,사업관리,0.2154,10
통상수용,80,구성하여야,0.2153,5
통상수용,81,자료는,0.2106,10
통상수용,82,자료를,0.2085,11
통상수용,83,통상적인,0.2034,4
통상수용,84,로그인,0.2021,7
통상수용,85,표준제조기준,0.2018,3
통상수용,86,운영,0.2013,12
통상수용,87,전자정부,0.1985,5
통상수용,88,개발방법론을,0.1977,4
통상수용,89,사용,0.1965,10
통상수용,90,품질보증을,0.1953,5
통상수용,91,수립하여야,0.194,8
통상수용,92,요구사항을,0.1905,7
통상수용,93,관리(요구사항,0.1888,5
통상수용,94,제출하여야,0.1839,13
통상수용,95,확인할,0.1811,4
통상수용,96,책임,0.1776,3
통상수용,97,신원조사에,0.1772,2
통상수용,98,변경관리,0.1762,11
통상수용,99,정의하여야,0.1747,5
통상수용,100,개발보안,0.1738,8
통상수용,101,보안약점,0.1693,2
통상수용,102,검증하여야,0.1684,6
통상수용,103,데이터의,0.168,7
통상수용,104,표준화에,0.1679,2
통상수용,105,매뉴얼,0.1661,2
통상수용,106,기술적용계획표를,0.1653,2
통상수용,107,제공되기로,0.1651,4
통상수용,108,개발하여야,0.1646,4
통상수용,109,준수하고,0.1627,7
통상수용,110,프로그램의,0.1584,3
통상수용,111,활용을,0.1555,4
통상수용,112,표준을,0.1554,10
통상수용,113,간의,0.1554,4
통상수용,114,데이터베이스,0.1542,3
통상수용,115,외부에,0.1535,5
통상수용,116,상호,0.1525,2
통상수용,117,품질보증의,0.152,4
통상수용,118,연계데이터,0.1504,3
통상수용,119,접근성,0.1504,5
통상수용,120,관리방법론에,0.15,2
통상수용,121,자료관리,0.1493,3
통상수용,122,비정기적인,0.1485,5
통상수용,123,수행하여야,0.1484,6
통상수용,124,목표시스템,0.1471,3
통상수용,125,데이터(연계데이터,0.1465,1
통상수용,126,예상되는,0.1463,2
통상수용,127,인터페이스(UI/UX,0.1455,2
통상수용,128,기록,0.1417,4
통상수용,129,리스크,0.1414,3
통상수용,130,SW사업정보,0.1405,4
통상수용,131,조회,0.1399,3
통상수용,132,로그인을,0.1396,4
통상수용,133,조직,0.1391,5
통상수용,134,데이터표준화,0.1386,1
통상수용,135,구조,0.1347,4
통상수용,136,"등록,",0.1338,2
통상수용,137,방안을,0.1321,7
통상수용,138,전자정부법,0.1318,2
통상수용,139,사업수행계획서,0.1291,6
통상수용,140,조직의,0.1286,3
통상수용,141,웹접근성,0.1284,2
통상수용,142,보안요구사항,0.128,1
통상수용,143,사업,0.1272,7
통상수용,144,개발에,0.1255,7
통상수용,145,일정관리,0.1255,8
통상수용,146,메뉴관리,0.1253,2
통상수용,147,정의하여,0.1251,5
통상수용,148,문제점,0.1241,3
통상수용,149,일정계획,0.124,6
통상수용,150,입력,0.121,4
통상수용,151,관리를,0.1209,9
통상수용,152,프로그램에,0.1195,4
통상수용,153,수시보고,0.1185,4
통상수용,154,기능의,0.118,5
통상수용,155,보고서,0.1174,4
통상수용,156,확인,0.1167,3
통상수용,157,안정화,0.116,3
통상수용,158,사업정보,0.1159,4
통상수용,159,자문조직의,0.1157,2
통상수용,160,추진,0.1147,6
통상수용,161,품질,0.1141,6
통상수용,162,민원신청,0.1132,7
통상수용,163,원활한,0.1128,1
통상수용,164,과정의,0.1124,4
통상수용,165,유지관리에,0.112,1
통상수용,166,제시하고,0.112,5
통상수용,167,정의해야,0.1119,4
통상수용,168,표준과,0.1115,5
통상수용,169,정합성을,0.1107,2
통상수용,170,하도급,0.1087,3
통상수용,171,전자정부표준개발프레임워크를,0.1076,1
통상수용,172,준용,0.107,1
통상수용,173,사업자,0.1068,4
통상수용,174,저작권,0.1063,3
통상수용,175,인터페이스를,0.1062,1
통상수용,176,로그,0.1057,5
통상수용,177,기준을,0.1056,4
통상수용,178,제시하여야함,0.1034,2
통상수용,179,기능과,0.103,6
통상수용,180,사업정보(소프트웨어,0.1018,1
통상수용,181,사업이,0.1015,4
통상수용,182,공동수급,0.1013,2
통상수용,183,메시지,0.101,2
통상수용,184,표준화(검토기준,0.101,1
통상수용,185,산출물관리방안,0.1005,2
통상수용,186,허가된,0.1003,1
통상수용,187,표준관리를,0.1002,3
통상수용,188,관리화면,0.099,1
통상수용,189,메뉴,0.0989,4
통상수용,190,사업을,0.0982,5
통상수용,191,활동에,0.0963,3
통상수용,192,제공하는,0.0962,5
통상수용,193,요구사항에,0.0957,3
통상수용,194,일정을,0.0954,3
통상수용,195,요구사항,0.0943,6
통상수용,196,포함하여야,0.0939,6
통상수용,197,시범운영,0.0938,1
통상수용,198,시범운영에,0.0938,1
통상수용,199,이용하여,0.0937,4
통상수용,200,제출자료,0.0935,8
통상수용,201,보안취약점,0.0928,2
통상수용,202,통합테스트,0.0927,2
통상수용,203,추진방안,0.0924,1
통상수용,204,표준화를,0.0915,1
통상수용,205,추진을,0.0911,3
통상수용,206,업로드,0.0904,3
통상수용,207,포털,0.09,3
통상수용,208,운영을,0.0887,5
통상수용,209,DB의,0.0884,1
통상수용,210,바이러스,0.0877,1
통상수용,211,기술적용계획표(별첨6)를,0.0876,1
통상수용,212,정상운영을,0.0875,1
통상수용,213,디자인에,0.0867,2
통상수용,214,준수를,0.0863,3
통상수용,215,연계데이터의,0.0862,3
통상수용,216,취약점에,0.0851,2
통상수용,217,준수(문서접수,0.0849,1
통상수용,218,이용,0.0848,3
통상수용,219,관리감독에,0.0845,5
통상수용,220,비공개자료는,0.0832,2
통상수용,221,추진조직,0.083,2
통상수용,222,수립하고,0.0826,4
통상수용,223,사업정보(SW사업,0.0826,2
통상수용,224,보안요구사항을,0.0825,2
통상수용,225,사업자는,0.0805,4
통상수용,226,단위테스트,0.0802,2
통상수용,227,표준화)를,0.0802,1
통상수용,228,현황을,0.08,3
통상수용,229,취약점이,0.0798,2
통상수용,230,역할(표준화,0.0797,1
통상수용,231,표준화와,0.0797,1
통상수용,232,통합관리,0.0794,3
통상수용,233,준수해야,0.0784,6
통상수용,234,일정계획과,0.0783,2
통상수용,235,구현의,0.078,1
통상수용,236,제공하며,0.0779,5
통상수용,237,기술적용계획표(서식,0.0776,1
통상수용,238,운영관리,0.0768,2
통상수용,239,수립함,0.0761,2
통상수용,240,형상관리,0.0759,5
통상수용,241,정보를,0.0755,2
통상수용,242,반드시,0.0754,2
통상수용,243,관리체계,0.0748,4
통상수용,244,노트북,0.0748,2
통상수용,245,노트북PC는,0.0748,2
통상수용,246,점검,0.0741,3
통상수용,247,공동수급형태의,0.0739,1
통상수용,248,동안,0.0737,1
통상수용,249,월간,0.0733,3
통상수용,250,협력업체(공동수급,0.072,1
통상수용,251,요구사항은,0.0718,1
통상수용,252,공공데이터,0.0712,2
통상수용,253,개발되어야,0.0709,3
통상수용,254,사업관리방법,0.0709,2
통상수용,255,정기적인,0.0705,1
통상수용,256,변경이력,0.0704,1
통상수용,257,변경이력을,0.0704,1
통상수용,258,보안규정에,0.0702,2
통상수용,259,개발한,0.0698,2
통상수용,260,데이터/문서,0.0697,1
통상수용,261,예방대책,0.0691,3
통상수용,262,표준제조기준에,0.0685,1
통상수용,263,결과물(프로그램,0.0684,2
통상수용,264,주간,0.0678,4
통상수용,265,관리자를,0.0677,4
통상수용,266,데이터를,0.0676,3
통상수용,267,준수하지,0.0672,4
통상수용,268,검색,0.0671,4
통상수용,269,진단,0.0671,2
통상수용,270,일정계획을,0.067,3
통상수용,271,수립하여,0.067,5
통상수용,272,자료제출,0.0669,2
통상수용,273,인터페이스와,0.0666,1
통상수용,274,연계데이터를,0.0664,2
통상수용,275,여부를,0.0663,1
통상수용,276,입력항목의,0.0662,3
통상수용,277,프로젝트별,0.0662,3
통상수용,278,기능은,0.0657,3
통상수용,279,프로그램으로,0.0653,1
통상수용,280,프로그램과,0.0653,1
통상수용,281,사업수행에,0.065,3
통상수용,282,준수하며,0.0648,3
통상수용,283,표준화된,0.0644,3
통상수용,284,정보자원관리시스템에,0.0643,1
통상수용,285,기술적용계획,0.0638,1
통상수용,286,적용하여야,0.0634,3
통상수용,287,하여야,0.0633,5
통상수용,288,개발보안(시큐어코딩)을,0.0629,1
통상수용,289,품질보증계획,0.0627,2
통상수용,290,소스코드에,0.0627,1
통상수용,291,단위테스트의,0.0627,1
통상수용,292,사용자에,0.0624,2
통상수용,293,공지사항을,0.0618,1
통상수용,294,자료실,0.0617,2
통상수용,295,메뉴·권한관리,0.0616,1
통상수용,296,전자정부지원사업,0.0615,2
통상수용,297,보장하여야,0.0613,4
통상수용,298,소프트웨어,0.0607,2
통상수용,299,사용하여야,0.0607,4
통상수용,300,제공해야,0.0606,4
통상수용,301,표준개발방법론을,0.0605,1
통상수용,302,표준화지침을,0.0599,1
통상수용,303,추진현황,0.0599,1
통상수용,304,품질관리를,0.0597,3
통상수용,305,완료된,0.0596,1
통상수용,306,현행화,0.0596,2
통상수용,307,사업관리기관의,0.0593,1
통상수용,308,정기보고,0.0589,3
통상수용,309,한국정보화진흥원에서,0.0589,1
통상수용,310,방법론,0.0585,4
통상수용,311,하도급하려는,0.0579,1
통상수용,312,제거하여야,0.0574,3
통상수용,313,대비하기,0.057,2
통상수용,314,개발의,0.0569,5
통상수용,315,중간보고,0.0569,5
통상수용,316,도출,0.0567,2
통상수용,317,데이터에,0.0565,1
통상수용,318,통합테스트의,0.0565,1
통상수용,319,진도관리(계획,0.0563,2
통상수용,320,파기,0.0563,1
통상수용,321,실행계획,0.0562,1
통상수용,322,표준에,0.0557,4
통상수용,323,K-RMF,0.0546,3
통상수용,324,결함을,0.0545,2
통상수용,325,개발용,0.0545,3
통상수용,326,관리해야,0.0545,2
통상수용,327,사업관리방안,0.0544,1
통상수용,328,접근성을,0.0544,2
통상수용,329,데이터는,0.0544,2
통상수용,330,사용을,0.0542,1
통상수용,331,검토서,0.0541,1
통상수용,332,검토서에,0.0541,1
통상수용,333,연계프로그램,0.054,1
통상수용,334,문제점을,0.054,1
통상수용,335,점검방법,0.0538,3
통상수용,336,메타데이터표준을,0.0537,1
통상수용,337,지속적인,0.0537,2
통상수용,338,보안약점을,0.0537,1
통상수용,339,추적관리,0.0535,2
통상수용,340,기능하도록,0.0534,1
통상수용,341,마련하여야,0.0533,2
통상수용,342,응용프로그램,0.0532,2
통상수용,343,개발이,0.0531,3
통상수용,344,개발도구,0.0531,3
통상수용,345,정합성,0.0531,2
통상수용,346,준수지침(행정안전부,0.0529,3
통상수용,347,기능이,0.0527,3
통상수용,348,중간보고회,0.0527,3
통상수용,349,정의된,0.0525,4
통상수용,350,등록·관리할,0.0524,2
통상수용,351,획득한,0.0524,3
통상수용,352,누출금지,0.0519,3
통상수용,353,추진일정,0.0519,2
통상수용,354,구현하여야,0.0519,3
통상수용,355,편의성,0.0516,3
통상수용,356,사업의,0.0516,2
통상수용,357,형상관리위원회에서,0.0515,2
통상수용,358,표준화에서,0.0512,1
통상수용,359,검증,0.0512,2
통상수용,360,용이성을,0.0511,3
통상수용,361,일정의,0.051,1
통상수용,362,정보통신망으로,0.0509,1
통상수용,363,확인하기,0.0505,2
통상수용,364,통합관리체계(MOUS,0.0504,1
통상수용,365,개발환경,0.0503,3
통상수용,366,웹하드에,0.0503,1
통상수용,367,수립되어야,0.0503,1
통상수용,368,지침(행정안전부고시,0.0502,1
통상수용,369,수립해야,0.0502,3
통상수용,370,사업관리자(PM)는,0.0501,2
통상수용,371,작성에,0.0501,2
통상수용,372,정의서’를,0.0499,1
통상수용,373,교육자료를,0.0496,1
통상수용,374,기능/비기능,0.0494,2
통상수용,375,리스크에,0.0494,1
통상수용,376,품질보증활동을,0.0492,1
통상수용,377,정의와,0.0486,2
통상수용,378,연계,0.0485,2
통상수용,379,기록한,0.0485,1
통상수용,380,추진계획,0.0484,1
통상수용,381,활동을,0.0483,3
통상수용,382,시큐어,0.0483,2
통상수용,383,인터넷,0.0481,2
통상수용,384,사업관리/개발,0.0475,1
통상수용,385,개발방법은,0.0473,1
통상수용,386,양식에,0.0472,3
통상수용,387,보고하여야,0.0469,3
통상수용,388,운영하여야,0.0469,1
통상수용,389,수행계획서,0.0468,3
통상수용,390,"방법,",0.0465,2
통상수용,391,표준화(민원유형별,0.0465,1
통상수용,392,전자정부서비스,0.0464,2
통상수용,393,제반자료는,0.0461,1
통상수용,394,민원신청(624종,0.0461,3
통상수용,395,동적관리,0.046,1
통상수용,396,연계기관,0.046,1
통상수용,397,다운로드,0.0458,4
통상수용,398,연구개발환경을,0.0457,1
통상수용,399,전달하여야,0.0455,1
통상수용,400,이전방안,0.0455,1
통상수용,401,어플리케이션,0.0454,1
통상수용,402,어플리케이션의,0.0454,1
통상수용,403,제약사,0.0454,1
통상수용,404,주간보고,0.0452,4
통상수용,405,업무는,0.045,1
통상수용,406,개발자,0.0449,2
통상수용,407,잔액관리,0.0446,1
