n,uid,name,v5,model,v6,claude_verdict,claude_note
1,ccrs_ai_platform:ECR-002,논리 아키텍처 및 서비스 구성,계약·질의검토,견적반영,통상수용,v5-lean,연계 구현 범위·허용 협의는 범위 open
2,ccrs_ai_platform:ECR-006,AI플랫폼 장비 도입,계약·질의검토,견적반영,견적반영,model,"H200는 동급 허용·조달 가능, 사양표는 견적"
3,ccrs_ai_platform:INR-002,언어모델 표준 인터페이스,견적반영,계약·질의검토,통상수용,v5,
4,ccrs_ai_platform:INR-007,데이터분석 환경(MLOps)-AI플랫폼 간 연동,계약·질의검토,견적반영,통상수용,v5,
5,ccrs_ai_platform:PER-005,RAG 이상 징후 탐지·벡터 DB 복구(RTO),계약·질의검토,견적반영,통상수용,model-lean,임계값·RTO 재산정 협의는 세부 파라미터
6,ccrs_ai_platform:SER-002,RAG 보안 통제 정책,계약·질의검토,견적반영,견적반영,v5-lean,잔존 0건 검증은 수치 검증
7,ccrs_ai_platform:SER-004,사용자 데이터 보관•보호 및 활용 범위 통제,계약·질의검토,견적반영,통상수용,neither(통상수용),"TTL 기간 협의는 세부 파라미터, 원가도 없음"
8,ccrs_ai_platform:SER-006,SSO 인증•암호화 및 폐쇄망 운영 보안,계약·질의검토,견적반영,계약·질의검토,model-lean,"GS/CC SSO 제품 다수, 폐쇄망 오프라인은 통상"
9,ccrs_ai_platform:SER-007,에이전트•AI 생성물 보안 통제 및 배포 거버넌스,계약·질의검토,견적반영,통상수용,neither(통상수용),"'100% 태깅'은 정책, 원가 없음"
10,ccrs_ai_platform:SER-009,학습데이터 개인정보 비식별화 통제,계약·질의검토,견적반영,견적반영,model,'100% 가명처리'는 정책이지 성능목표 아님
11,ccrs_ai_platform:SFR-003,지식화 파이프라인·분류·시점관리 및 벡터 인덱스,계약·질의검토,견적반영,견적반영,ambiguous,"협의 항목 다수, 그러나 대부분 파라미터"
12,ccrs_ai_platform:SFR-006,표준 서식 템플릿 매핑 및 HWPX 변환 기능,계약·질의검토,견적반영,견적반영,v5-lean,추가 템플릿 범위 기술협상
13,ccrs_ai_platform:SFR-008,피드백 기반 품질 개선 및 골든셋 평가 기능,견적반영,계약·질의검토,견적반영,v5,
14,ccrs_ai_platform:SFR-009,RAG 품질 및 성능 통합 모니터링 대시보드,견적반영,계약·질의검토,통상수용,v5,
15,ccrs_ai_platform:SFR-012,플랫폼 자원·LLM 모델 통합 관리 기능,계약·질의검토,견적반영,계약·질의검토,model-lean,GPU quota·오프라인 반입은 플랫폼 표준
16,ccrs_ai_platform:SFR-014,콜센터 상담 어시스턴트 구축,견적반영,계약·질의검토,통상수용,v5,
17,ccrs_ai_platform:SFR-019,Agent 민원처리 지원,견적반영,계약·질의검토,통상수용,v5,
18,ccrs_ai_platform:SFR-021,Agent 협약기관 검색,견적반영,계약·질의검토,통상수용,v5,
19,ccrs_ai_platform:SFR-023,Agent 사내규정 검색,견적반영,계약·질의검토,통상수용,v5,
20,ccrs_ai_platform:TER-003,생성형 AI 응답 품질 및 RAG 파이프라인 검증,계약·질의검토,견적반영,통상수용,ambiguous,합격기준 PER·기술협상 확정
21,defense_intelligent_platform:ECR-007,CPU클러스터 서버(AI플랫폼),견적반영,계약·질의검토,견적반영,v5,
22,defense_intelligent_platform:ECR-008,CPU클러스터 서버(클라우드 관리(IaaS/PaaS/CMP)),견적반영,계약·질의검토,견적반영,v5,
23,defense_intelligent_platform:ECR-009,CPU클러스터 서버(데이터 플랫폼),견적반영,계약·질의검토,견적반영,v5,
24,defense_intelligent_platform:ECR-017,표준랙,계약·질의검토,견적반영,견적반영,model,"FMS 센서 연동은 표준 DCIM, 장비 원가"
25,defense_intelligent_platform:ECR-021,AI 플랫폼(개발/운영) SW,계약·질의검토,견적반영,계약·질의검토,v5-lean,국방망 설치 가능성
26,defense_intelligent_platform:ECR-023,지능형 클라우드 네이티브 보안환경 구축 설계,계약·질의검토,견적반영,계약·질의검토,v5,
27,defense_intelligent_platform:ECR-025,IaaS 가상화,계약·질의검토,견적반영,견적반영,model-lean,"vGPU 라이선스 조달 가능, 상세설계 확정은 통상"
28,defense_intelligent_platform:ECR-028,VDI 솔루션 요구사항,견적반영,계약·질의검토,견적반영,v5,
29,defense_intelligent_platform:PMR-003,투입인력 요건,견적반영,계약·질의검토,통상수용,v5,
30,defense_intelligent_platform:SER-007,K-RMF 적용 - 보안평가·후속조치·인가,견적반영,계약·질의검토,계약·질의검토,v5,
