requirement_uid,평가문서,정답,예측,확률차,p_견적반영,p_계약·질의검토,요구사항명,요구사항유형,blockers,cost_basis,build_difficulty,domain_dependency,reasoning,본문
kexim_ai_platform:ECR-002,kexim_ai_platform,견적반영,계약·질의검토,0.0033,0.3393,0.3426,AI 플랫폼 연계,기능,,고급·전문인력,높음,보통,"ECM 문서 수집 API, DRM 복호화 연계, 변경분 감지·증분추출, 명명규칙 검증 등은 표준 RAG 구축을 넘어서는 연계·인터페이스 개발로 고급 인력 투입이 필요하다. 성능영향 금지 문구는 표준 문구로 blocker 아니며 수치 성능목표도 없다.","AI 플랫폼 연계
- AI 플랫폼 연계
- AI 플랫폼이 ECM 내 문서를 안전하게 수집할 수 있는 API 제공
- RAG 대상 또는 학습 대상이 되는 문서들을 폴더, 문서 유형, 메타 등 다양한 조건으로 선택하여 AI 플랫폼에 DRM 복호화하여 전달
- ECM 내 문서가 생성, 수정, 삭제될 경우 이를 AI 플랫폼에 통지
- ECM 내 변경 부분만 AI 플랫폼이 효율적으로 추출·수집 기능 제공
- AI 플랫폼 연계를 위한 폴더 및 문서 관리 기능 제공
- 정의된 명명 규칙에 따라 폴더명, 문서명 유효성 체크 기능 등을 제공
- AI 플랫폼에서 데이터 수집 시 ECM 본연의 업무 성능에는 영향을 미치지 않아야 함"
genai_incident_response:SFR-011,genai_incident_response,계약·질의검토,견적반영,0.0055,0.3651,0.3595,아티팩트 분석 에이전트② – 채증 이미지 기반 분석,기능,"범위·책임, 라이선스·공급, 공급자종속",복합,높음,높음,"120B급 파운데이션 모델과 X-Ways 등 특정 포렌식 도구 5종의 실제 조달·라이선스 확보 가능성이 불명확하고, 연동 도구는 KISA와 추후 협의해 확정하는 열린 범위이며 LLM 기반 포렌식 방법론 설계는 제안사가 직접 고안해 승인받아야 해 사전 확인이 필요하다. 디지털포렌식 전문인력 실무검증과 대형 모델 인프라가 필요해 원가도 복합적으로 발생한다.","아티팩트 분석 에이전트② – 채증 이미지 기반 분석
- 채증 이미지 처리 및 텍스트 변환
- 포렌식 도구를 활용해 채증 이미지 처리 및 텍스트 변환 파이프라인 구현
- 도구별 출력 결과 정규화 및 파운데이션 모델 입력 형식 변환 기능 구현
- LLM 기반 포렌식 분석 방법론 설계
- LLM을 활용한 메모리·시스템·타임라인 분석 방법론 제안 및 설계
※ LLM 기반 포렌식 분석은 제안사가 구체적 방법론을 제안하고 KISA 검토·승인 후 적용
- 침해 경로 재구성을 위한 LLM 추론 활용 방안 설계
- 포렌식 도구 Tool Calling 연동 구현
- X-Ways·Volatility·MFTECmd·JECmd·SrumECmd 등 5종 이상 포렌식 도구
Tool Calling 기반 연동 기능 구현
※ 연동하는 포렌식 도구 항목은 KISA와 협의하여 최종 선정 및 반영함
- 도구별 호출 인터페이스·입출력 파라미터·결과 포맷 정의 및 문서화
- 분석 시나리오에 따른 도구 자동 선택·순차 호출 기능 구현
- 파운데이션 모델 연동 및 분석 기능 구현
- 중추 파운데이션 모델(120B↑) 및 디지털포렌식 전문가 모델(sLLM) 연계를 통한 포렌식 분석 기능 구현
- 메모리·시스템·타임라인 분석 자동 수행 및 침해 경로 재구성 기능 구현
- 파이프라인 설계 및 기능 구현 결과에 대해 침해사고 분석 전문인력의 실무 검증 수행
※ 실무 활용 현실성 및 분석 결과 적합성 확인을 위한 전문인력 참여 필수
- 입출력 인터페이스 구현
- 웹 UI 기반 채팅 형식 대화형 분석 요청·결과 조회 기능 구현
- 오케스트레이터 기반 분석 플래닝 구현
- 아티팩트 유형·복잡도에 따른 분석 절차 자동 계획(Planning) 및 단계별 실행 관리 기능 구현
- 외부 도구 호출 순서 조율 및 단계 간 의존성 관리 구현"
ccrs_ai_platform:SFR-021,ccrs_ai_platform,견적반영,계약·질의검토,0.0153,0.3716,0.3868,Agent 협약기관 검색,기능,,복합,보통,보통,"약 1만개 기관 데이터의 기간계 API 초기적재, 증분 배치 자동화, 오류 롤백·알림, 유사명칭 검색 등은 기본 수행팀 범위를 넘는 파이프라인·검색엔진 구축 작업으로 추가 원가가 필요하다. 구체적 수치 성능목표나 조달 불확실성은 없어 blocker는 아니다.","Agent 협약기관 검색
- [협약기관 데이터 초기 구축]
- 시스템은 위원회와 협약을 체결한 외부 금융기관 데이터(약 10,000개 기관)를 기간계 시스템으로부터 API로 호출하여 RAG 지식베이스를 구성하는 기능을 제공
- [기간계 연동 자동 갱신]
- 협약기관 정보 변경은 기간계 협약기관 정보를 배치로 자동 수집하여 지식베이스에 증분 반영
- 배치 수행 시 변경분을 자동 식별하고, 변경 건수·성공/실패 결과를 관리자에게 리포트
- 배치 오류 발생 시 기존 지식베이스를 유지하고, 오류 사유를 로그 기록 및 관리자 알림으로 제공
- [자연어 기반 협약기관 검색]
- 자연어 질의로 협약 정보 및 담당자 정보를 검색·응답
- 기관명의 부분 일치, 약칭, 유사 명칭에 대해서도 후보 기관 목록을 제시 가능
- [데이터 최신성 안내]
- 협약기관 데이터의 최종 동기화 일시를 응답 화면에 표시하여, 사용자가 데이터 최신성을 판단할 수 있도록 지원"
mfds_drug_ai_review:SFR-027,mfds_drug_ai_review,견적반영,계약·질의검토,0.016,0.375,0.391,임베딩 모델 등 환경구성 및 성능강화,기능,,고급·전문인력,높음,높음,"임베딩·리랭크 모델의 파인튜닝, 성능비교평가, 도메인 용어사전 기반 학습 등은 고급 AI 전문인력 투입이 필요한 작업으로 기본 수행팀 범위를 넘는다. 구체적 수치 목표나 무제한 재작업 조건은 없어 blocker는 아니다.","임베딩 모델 등 환경구성 및 성능강화
- 임베딩·리랭크 모델의 환경구성 및 성능 강화
- 정부 초거대 AI 기반 모델 및 소버린(Sovereign) AI 모델을 이용하여 검토(성능 비교 및 평가)를 완료한 임베딩 모델 및 벡터DB의 환경구성 방안을 발주기관에 제시
- 발주기관과 협의 완료한 임베딩 모델 및 벡터DB 환경구성을 완료하여 AI 플랫폼에 탑재
※ 필요시 외부모델 중 초거대 AI 모델과 성능 비교 후 발주기관과 협의하여 초거대 AI 플랫폼에 탑재
- 용어사전(유의어, 동의어)에 대한 전처리 후 임베딩 모델의 학습 및 벡터DB 구성
- 텍스트, 표, 이미지에 대한 임베딩 수행 후 벡터DB에 관리
- 도메인 사전(용어사전DB) 기반 임베딩 기술(용어사전DB+학습된 임베딩 모델) 적용
- 임베딩 모델의 성능강화를 위한 파인튜닝 수행
- 리랭크 모델의 스코어링을 위한 학습 구성방안을 마련하여 모델 성능강화 실시
- 임베딩 모델을 통해 RAG 구성시 자료에 대한 출처(파일경로) 등을 포함하여 벡터DB 구성"
ccrs_ai_platform:SFR-014,ccrs_ai_platform,견적반영,계약·질의검토,0.0162,0.3979,0.4141,콜센터 상담 어시스턴트 구축,기능,,고급·전문인력,높음,보통,"기존 STT 엔진 출력을 활용하는 명확한 연동 구조이며 구체적 수치 성능목표나 라이선스 불확실성이 없어 blocker는 아니다. 다만 실시간 백그라운드 분석, 동시 다수세션 처리, RAG 기반 온디맨드 추천, PII 자동 마스킹 등은 고급 전문인력이 필요한 복잡 구축으로 견적반영이 필요하다.","콜센터 상담 어시스턴트 구축
- [실시간 STT 스트리밍 연동]
- 시스템은 기존 콜센터의 화자분리 STT 엔진 출력을 수신하여, 통화 중 신청인 발언 텍스트를 지속적으로 수집·축적해야 한다. 화자 구분(신청인/상담사)은 기존 STT 엔진의 출력 결과를 활용하며, 신청인 발언을 우선 분석 대상으로 처리
- [백그라운드 실시간 분석]
- 시스템은 수신된 신청인 발언 텍스트를 백그라운드에서 실시간 분석하여, 상담 의도·핵심 키워드·맥락 정보를 지속 갱신
- 실시간 분석 결과는 상담사의 AI 호출 시점까지 내부적으로 축적·갱신
- 동시 다수 세션 처리를 지원
- [온디맨드 추천 스크립트 제공]
- 상담사가 AI 호출 액션을 수행하면, 해당 시점까지 축적된 분석 결과를 기반으로 콜센터 매뉴얼 RAG에서 관련 근거를 검색하여 추천 상담 스크립트를 제공
- 각 추천 스크립트에 근거 매뉴얼 출처를 표시하고, 근거 원문을 제공 (평소 숨김, 클릭 시 노출)
- 응답시간은 상담사가 AI 호출 버튼을 클릭한 시점부터 추천 스크립트가 상담사 UI에 표시되는 시점까지를 기준으로 한다.
- [콜센터 매뉴얼 RAG 지식베이스 구축]
- 콜센터 매뉴얼(약 400페이지)를 기준으로 RAG 지식베이스로 구축
- 기존 콜센터 표준 스크립트를 지식베이스에 함께 적재
- 매뉴얼 개정 시 지식베이스를 갱신 가능하며, 전체 교체 및 증분 반영을 모두 지원
- [추천 이력 보존 및 품질 피드백]
- 통화별 AI 호출 이력을 별도 로그로 보존 PII 마스킹이 적용된 비식별 데이터만 포함
- 상담사는 추천 스크립트에 대해 간편 피드백을 입력하고 운영자에 모니터링 결과를 제공하는 기능
- [안정화 운영 및 권한 관리]
- 초기 구축 시 일부 상담사를 선별하여 안정화 기간을 운영하고, 단계적으로 확대 배포
- [보안 및 세션 관리]
- STT 텍스트 내 개인정보는 보안 가드레일을 적용하여 AI 추론 전 자동 마스킹
- 스크립트 추천 이력 로그는 별도 보존"
genai_incident_response:PSR-003,genai_incident_response,견적반영,계약·질의검토,0.0208,0.3825,0.4033,비상 시 운영 연속성 확보 방안,프로젝트지원,,장비·인프라,보통,낮음,"RAG·LLM·Vector DB 이중화 및 자동전환 구조, 백업·복원 체계는 기본 수행팀 범위를 넘는 이중화 장비·인프라 비용이 필요하다. RTO/RPO는 수행사가 설정하는 목표치로 사전 검증이 필요한 외부 수치 요구가 아니며, 장애 시나리오·훈련은 통상적 컨설팅 범위다.","비상 시 운영 연속성 확보 방안
⚪ 주요 서비스 이중화 및 백업 구성
- RAG, LLM, Vector DB 등 주요 구성요소의 장애 대비 이중화 또는 자동 전환 구조 설계
- 주기적 데이터 백업 및 복원 테스트 체계 포함
⚪ 운영 장애 유형별 대응 시나리오 수립
- AI 모델 오류, API 응답 지연, 데이터 손상 등 장애 유형 정의 및 단계별 대응절차 마련
- 예: “LLM 비응답 시 → 단축 응답 방식 대체”, “RAG 미연동 시 → 원문 조회 안내” 등
⚪ 수동 절차 기반 비상운영 플랜 마련
- 자동 응답 시스템이 작동하지 않을 경우 수동 응대 프로세스 설계
- 분석가 개입, 통보 시나리오, 수작업 전환 지침 포함
⚪ 장애 발생 시 복구시간(RTO), 복구지점(RPO) 기준 설정
- 시스템 복구 시간, 데이터 손실 허용 범위 등 목표 수준 명시
⚪ 비상 시 점검 및 시뮬레이션 운영
- 분기별 이상 상황 대응 훈련 및 결과 보고 포함"
incheon_airport_digital_work:CUR-CM-001,incheon_airport_digital_work,계약·질의검토,견적반영,0.0236,0.4,0.3764,공사 AI 업무 체계 고도화 컨설팅,컨설팅,검수·성능기준,복합,높음,보통,"국내·외 AI 품질 인증 체계 조사 및 실제 취득을 요구하나 대상 인증, 비용, 기간, 합격 기준이 제시되지 않아 입찰 전 확인이 필요한 blocker다. 언어모델 성능평가·데이터 표준체계 수립 등은 고급 전문인력 투입이 필요해 원가에도 영향을 준다.","공사 AI 업무 체계 고도화 컨설팅
- 대규모 사내업무 AI 도입 관련 내·외부 환경 분석, 선진사례 검토 및 다양한 신규 사례를 분석하여 최적의 공사 AI 기반 사내업무 수행 방안 도출 및 설계에 적용
- 외부 사례 등 검토를 통해 공사 내 AI 활용 가능 방안에 대해 모색하며, 민간·공공 분야 선진 AI 적용 사례 조사 및 벤치마킹 추진
- 공사 정보시스템 분석을 통한 정형 데이터와 전자문서 등 비정형 데이터(텍스트, 이미지 등)를 유형별 수집/전처리/관리 표준 프로세스 수립 및 공사 향후 유지관리 방안에 적용
- 정형·비정형 데이터 분석 결과를 바탕으로 인터페이스 연계, AI 학습 및 개발 등을 수행
- 설계 시 개인정보 등 민감 정보에 대한 비식별화 기준을 수립하며, AI 학습 데이터 품질 기준 및 검수 체계 마련
- 언어모델 성능 측정 및 적정성 평가 방안을 수립하며, 수행하는 과제 성격에 적합한 벤치마크 지표를 선정
- 과제 별 LLM 및 RAG 도입 S/W 적정성에 대한 평가 수립 및 시행
- 현재 공사에서 수행 중인 차세대 통합정보연계시스템 구축 사업, 인천공항 데이터플랫폼 통합 ISP 용역 및 구축 사업에 대해 인터페이스 연계 방안 등을 분석하여 사업에 반영
- 구축 AI 서비스 품질 검증을 위한 국내·외 인증 체계 조사 및 취득
- 취득 대상 선정 결과를 컨설팅 결과에 작성하며, 향후 취득 계획 및 결과에 대한 산출물 별도 제출
- AI 디지털 워크 전환 16대 과제 대상 추진 현황 등 롤링 및 각 과제는 공사 업무 성격을 반영하여 적정한 작명안 제시
- 컨설팅 결과는 공문으로 제출하며, 컨설팅 내용은 공사와 협의 후 진행"
ccrs_ai_platform:SFR-029,ccrs_ai_platform,견적반영,계약·질의검토,0.0249,0.3914,0.4163,실험 및 신규 모델 개발,기능,,복합,높음,보통,"MLOps 플랫폼 전반(실험추적, 쉐도우/A-B 배포, 모델 레지스트리, GPU 샌드박스 격리환경)을 구축해야 하며 고급 인프라 엔지니어와 GPU 장비·라이선스 투입이 요구되어 기본 수행팀 범위를 초과한다. 구체적 수치 목표나 무제한 조건은 없어 blocker는 아니다.","실험 및 신규 모델 개발
- [실험 관리 (Experiment Tracking)]
- 시스템은 개발자가 실험 프로젝트를 생성하고, 새로운 알고리즘과 피처 조합을 시도하며 그 과정과 결과를 체계적으로 추적·비교할 수 있는 환경을 제공해야 한다.
- 시스템은 실험 런타임에서 발생하는 핵심 정보(하이퍼파라미터, 사용 피처 목록, 학습 데이터 기간, 성능 지표 등)를 자동 또는 수동으로 로깅하여 저장할 수 있어야 한다.
- 개발자는 동일 과제 내 여러 실험의 로깅된 결과를 테이블 및 시각화 차트(예: 평행 좌표 차트 등)로 대시보드에서 한눈에 비교 분석할 수 있어야 한다.
- 무분별한 리소스 낭비를 방지하기 위해, 모든 실험의 코드나 데이터를 강제로 형상 관리에 저장하지 않고, 관리자가 의미 있다고 판단한 실험 결과에 대해서만 재현 환경 정보를 매핑하여 ""공식 모델""로 등록할 수 있는 기능을 제공해야 한다.
- [운영 환경 검증 (Shadow Deployment & A/B Testing)]
- 시스템은 새로 개발된 후보 모델(챌린저)을 실제 운영 환경에 안전하게 배포하고 검증할 수 있도록 쉐도우 배포(Shadow Deployment) 또는 A/B 테스트 기능을 지원해야 한다.
- 시스템은 쉐도우 모드 또는 A/B 테스트 환경에서 수집된 두 모델 간의 성능 지표(응답 속도, 예측 결과 분포, 실시간 Accuracy 등)에 대한 비교 차트로 시각화하여 제공해야 한다.
- 시스템은 쉐도우 배포 또는 A/B 테스트 기능을 관리자가 UI에서 유연하게 설정할 수 있도록 제공해야 한다.
- [모델 레지스트리 (Model Registry)]
- 시스템은 실험에서 선정된 공식 후보 모델부터 운영까지의 전체 생애주기를 중앙에서 관리하는 모델 레지스트리(Model Registry)를 제공해야 한다.
- 시스템은 사업 내 여러 과제(모델)를 하나의 레지스트리에서 통합 관리하되, 부서·과제·모델별 필터링 조회를 지원해야 한다.
- 관리자는 모델 버전별로 등록 일시, 등록자, 출처 실험(Run) 정보, 성능 지표 요약, 배포 이력을 상세 조회할 수 있어야 한다.
- 시스템은 등록된 모델 버전을 컨테이너 이미지 또는 모델 아티팩트 단위로 관리하여, 운영 환경에 빠르게 배포·롤백할 수 있도록 지원해야 하며, 필요 시 해당 모델 파일을 별도로 다운로드할 수 있어야 한다.
- [독립적인 실험 환경]
- 시스템은 운영 환경과 격리된(물리적/논리적) 실험 전용 환경에서 새로운 모델링을 시도할 수 있는 실험(개발) 환경을 제공해야 한다.
- 시스템은 관리자가 DW 연동 인터페이스를 관리할 수 있는 기능을 제공해야 하며, 개발자는 이를 통해 필요한 데이터를 손쉽게 호출하여 활용할 수 있어야 한다.
- 시스템은 샌드박스 사용자별 컴퓨팅 자원(CPU/GPU/Memory) 사용 현황을 모니터링할 수 있어야 하며, 자원 사용 한도를 사용자별로 설정할 수 있어야 한다.
- 샌드박스 환경은 코드 기반 실험을 위한 개발 도구(예: Jupyter 환경, VSCode IDE 등)에 대한 접근을 지원해야 한다.
- 시스템은 협업과 형상 관리를 위해 코드 형상 저장소(Git)의 프로젝트 단위로 실험 환경을 구성할 수 있어야 하며, 프로젝트별·사용자별로 격리된 실행 환경을 적용할 수 있어야 한다."
kac_ai_work_platform:GW-016,kac_ai_work_platform,계약·질의검토,견적반영,0.0261,0.3978,0.3716,웹 기반 문서 공동편집 기능 요구사항,기능,"라이선스·공급, 공급자종속",라이선스,보통,낮음,"HWP 등 원본 서식 손실 없는 웹오피스 편집·변환은 상용 웹오피스 솔루션 라이선스 확보가 필요하며, 이를 지원하는 공급사가 제한적이어서 조달 가능성과 공급자 범위를 사전 확인해야 한다.","웹 기반 문서 공동편집 기능 요구사항
1) 실시간 공동 편집 및 협업 환경 구축
- 웹 브라우저상에서 별도의 소프트웨어 설치 없이 문서 및 스프레드시트를 생성, 열람, 편집할 수 있는 환경을 제공할 것
- 복수의 사용자가 동일한 문서에 동시 접속하여 실시간으로 편집할 수 있어야 하며, 편집 내용이 지연 없이 공유될 것
- 문서 편집 중 변경 사항을 실시간으로 자동 저장 기능을 제공할 것
2) 편집 기능 및 보안 사항
- 글꼴, 크기, 색상, 정렬, 줄 간격, 스타일(제목, 본문), 표 삽입, 이미지 첨부 등 표준 워드 프로세서 수준의 편집 기능을 제공할 것
- 기존에 보유한 문서 파일(HWP, DOCX, XLSX, PPTX 등)을 업로드하여 원본 서식의 깨짐 없이 웹에서 편집 가능한 형태로 변환 지원할 것
- 편집 완료된 문서를 사용자의 요구에 따라 HWP, PDF, Excel(XLSX), Word(DOCX) 등 다양한 형식으로 로컬 PC에 다운로드할 수 있는 기능을 제공할 것
- 문서별 접근 권한을 사용자 또는 그룹별로 설정할 수 있는 제어 기능을 구현할 것
- 기존 그룹웨어 SSO와 연동하여 별도의 로그인 없이 서비스를 이용할 수 있도록 구축할 것"
kac_ai_work_platform:GW-002,kac_ai_work_platform,계약·질의검토,견적반영,0.0314,0.4061,0.3748,그룹웨어 포탈 공통,기능,"검수·성능기준, 범위·책임",복합,높음,보통,제안사가 통합검색 성능의 품질·유지보수 책임을 포괄적으로 지고 명확한 SLA 응답속도 지표까지 자체 제시해야 하는 조건은 달성 가능성을 사전 확인해야 할 blocker다. 다양한 원천 통합검색·첨부파일 본문 검색·AI 요약 기능은 고급인력·검색엔진 라이선스 등 추가 원가도 수반된다.,"그룹웨어 포탈 공통
1) 그룹웨어 통합 알림
- 그룹웨어 내에서 발생하는 다양한 알림 메시지를 통합 관리할 것
- 전자결재·메일·게시판·대화·일정·자원등록 등 모든 메뉴의 알림을 연계할 것
- 모든 알림 메시지에 링크를 제공하여 해당 메뉴로 즉시 이동할 수 있을 것
- 제목 또는 요약을 표기하고, 펼쳐보기를 통해 세부 내용을 확인할 수 있을 것
- 날짜별로 알림 메시지를 구분 조회할 수 있을 것
- 모두 읽음 처리 기능을 제공할 것
- 확인한 메시지는 회색 처리하여 직관적으로 표시할 것
- 사용자가 알림 수신 방식(웹·모바일 푸시·메일 등)을 선택할 수 있을 것
- 최초 로그인 시 통합 알림을 통한 AI 요약 정보를 제공할 수 있을 것
2) 그룹웨어 통합 검색
- 전자결재·게시판·일정관리·문서함 등 그룹웨어 내 각종 정보를 통합 검색할 수 있는 메뉴를 제공할 것
- 검색 결과를 카테고리별로 정렬하여 보여줄 것
- 결재 문서 및 게시판에 첨부된 파일의 본문 내용도 별도 검색이 가능할 것
- 인물 검색: 통합 검색을 통해 조직원을 검색할 경우 해당 조직원의 프로필과 활동 내역(전자결재·게시판 등)을 함께 조회할 수 있을 것
- 검색 결과 내 하이라이트 및 요약 제공
- 자주 사용하는 검색어 저장 및 검색 이력 조회 기능을 제공할 것
3) 통합 검색 성능 요건
- 색인 작업에 따른 운영DB의 성능 저하를 최소화할 것
- 제안사는 통합 검색 성능의 품질 및 유지보수에 대한 책임을 질 것
- 검색 응답 속도에 대한 명확한 성능 지표(SLA)를 제시할 것"
